name,group,flash_point,spcode,replicate,%area
Hexahydrofarnesyl acetone,NA,95.1,abma,4,5.80
Geranyl-a-terpinene,NA,NA,abma,4,NA
Palmitoleic acid ,NA,239.2,abma,4,NA
Sclareol,labdane diterpenoid,169%,abma,4,5.07
3-carene,bicyclic monoterpene,46,cade,1,8.40
a-pinene,monoterpene,33,cade,1,5.96
b-pinene,monoterpene,36,cade,1,2.72
b-Myrcene,monoterpene,39.4,cade,1,NA
a-Phellandrene,cyclic monoterpene,47.2,cade,1,NA
D-Limonene,cyclic monoterpene,50,cade,1,13.13
c-Terpinene,cyclic monoterpene,100,cade,1,0.60
2-Carene,bicyclic monoterpene,38,cade,1,5.06
Terpinolene,cyclic monoterpene,100,cade,1,2.32
Pinocarvone,bicyclic monoterpene,85,cade,1,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,cade,1,16.93
Crypton ,Ketone,87.2,cade,1,NA
Dodecanal,Fatty aldehyde,114,cade,1,NA
(1R)-(-)-Myrtenal,terpene aldehyde,80,cade,1,NA
Eucarvone,monocyclic monoterpenoid,90,cade,1,NA
I-Verbenone,bicyclic ketone terpene,85,cade,1,NA
a-Citrylideneethanol,NA,104.5,cade,1,9.53
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,cade,1,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,cade,1,1.41
Phellandral,monocyclic terpene aldehyde,83.6,cade,1,NA
2-Undecanone,Ketone,88.9,cade,1,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,cade,1,NA
Terpinyl acetate,methane monoterpenoid,83,cade,1,4.77
delta-elemene,sesquiterpene,99.5,cade,1,NA
Ylangene,sesquiterpenoid,105.1,cade,1,NA
Copaene,sesquiterpenoid,105.1,cade,1,NA
Thujopsene,sesquiterpene,105.9,cade,1,2.00
cis-beta-elemene,sesquiterpene,98.3,cade,1,0.86
Caryophyllene,sesquiterpene,104.9,cade,1,NA
