tag,spcode,year,alt,asp,li,lf,ldrate,lti,ltf,ltdrate,wi,wf,wdrate,display.name
189,Pipo,1,h,n,191.5,58.36585366,1.188156787,297.2814587,66.05923551,1.504127515,2,1.6,0.223143551,P. ponderosa
190,Abco,2,h,s,94.49,21.413,0.742247897,241.6676077,40.8447704,0.888892233,2,1.4,0.178337472,A. concolor
191,Abco,2,h,s,110.1066667,23.52946667,0.771598028,251.665748,45.06472078,0.860001057,2,1.6,0.111571776,A. concolor
192,Abco,2,h,s,71.1025,19.80727273,0.639036659,166.1584793,40.59790228,0.704612815,2,1.4,0.178337472,A. concolor
193,Abco,1,h,s,78.4825,22.40431373,1.253622153,152.3523037,35.09329158,1.468185638,2,1.7,0.162518929,A. concolor
194,Abco,1,h,s,101.0566667,19.13092857,1.664375093,177.7001082,36.6871859,1.577669808,2,1.5,0.287682072,A. concolor
195,Abco,1,h,s,72.975,21.8675,1.2051154,125.0280648,37.1403466,1.213834342,2,1.7,0.162518929,A. concolor
196,Cade,1,h,s,84.17666667,9.9102,2.139353235,102.6803056,12.23611455,2.127228544,2,1.3,0.430782916,C. decurrens
197,Cade,1,h,s,76.0975,14.3455,1.668579109,92.39182248,14.00138709,1.886882071,2,1.4,0.356674944,C. decurrens
198,Cade,1,h,s,91.0925,11.4984,2.069667579,114.7946634,13.0489378,2.174438261,2,1.5,0.287682072,C. decurrens
199,Cade,2,h,s,90.965,9.613766234,1.123639382,110.2121153,9.740077266,1.213078889,2,1.2,0.255412812,C. decurrens
200,Cade,2,h,s,74.982,7.956601942,1.121623034,110.5760288,10.38202846,1.182813525,2,1.1,0.2989185,C. decurrens
201,Cade,2,h,s,107.72,7.598780488,1.325773748,147.3226543,10.06759443,1.341651657,2,1.2,0.255412812,C. decurrens
202,Pipo,2,h,s,171.2272727,129.941875,0.13795226,268.0415732,111.3613348,0.439180955,2,1.8,0.052680258,P. ponderosa
203,Pipo,2,h,s,181.5,99.09227273,0.302602095,266.9780383,90.14751022,0.542859535,2,1.7,0.081259465,P. ponderosa
204,Pipo,2,h,s,172.6666667,100.9364706,0.268435819,250.7143404,55.0251853,0.758261605,2,1.6,0.111571776,P. ponderosa
205,Pipo,1,h,s,175.05,145.5546154,0.184520268,247.6566328,87.38337961,1.041738142,2,1.7,0.162518929,P. ponderosa
206,Pipo,1,h,s,182.8,110.975,0.499087708,272.5851025,74.24779546,1.300542782,2,1.7,0.162518929,P. ponderosa
207,Pipo,1,h,s,178.7,134.644,0.283074164,281.4350366,114.6081388,0.898382824,2,1.7,0.162518929,P. ponderosa
